Date,Close,,
8/24/2022,413.670013,,
8/25/2022,419.51001,,
8/26/2022,405.309998,,
8/29/2022,402.630005,,
8/30/2022,398.209991,,
8/31/2022,395.179993,,
9/1/2022,396.420013,,
9/2/2022,392.23999,,
9/6/2022,390.76001,,
9/7/2022,397.779999,,
9/8/2022,400.380005,,
9/9/2022,406.600006,,
9/12/2022,410.970001,,
9/13/2022,393.100006,,
9/14/2022,394.600006,,
9/15/2022,390.119995,,
9/16/2022,385.559998,,
9/19/2022,388.549988,,
9/20/2022,384.089996,,
9/21/2022,377.390015,,
9/22/2022,374.220001,,
9/23/2022,367.950012,,
9/26/2022,364.309998,,
9/27/2022,363.380005,,
9/28/2022,370.529999,,
9/29/2022,362.790009,,
9/30/2022,357.179993,,
10/3/2022,366.609985,,
10/4/2022,377.970001,,
10/5/2022,377.089996,,
10/6/2022,373.200012,,
10/7/2022,362.790009,,
10/10/2022,360.019989,,
10/11/2022,357.73999,,
10/12/2022,356.559998,,
10/13/2022,365.970001,,
10/14/2022,357.630005,,
10/17/2022,366.820007,,
10/18/2022,371.130005,,
10/19/2022,368.5,,
10/20/2022,365.410004,,
10/21/2022,374.290009,,
10/24/2022,378.869995,,
10/25/2022,384.920013,,
10/26/2022,382.019989,,
10/27/2022,379.980011,,
10/28/2022,389.019989,,
10/31/2022,386.209991,,
11/1/2022,384.519989,,
11/2/2022,374.869995,,
11/3/2022,371.01001,,
11/4/2022,376.350006,,
11/7/2022,379.950012,,
11/8/2022,382,,
11/9/2022,374.130005,,
11/10/2022,394.690002,,
11/11/2022,398.51001,,
11/14/2022,395.119995,,
11/15/2022,398.48999,,
11/16/2022,395.450012,,
11/17/2022,394.23999,,
11/18/2022,396.029999,,
11/21/2022,394.589996,,
11/22/2022,399.899994,,
11/23/2022,402.420013,,
11/25/2022,402.329987,,
11/28/2022,395.910004,,
11/29/2022,395.230011,,
11/30/2022,407.679993,,
12/1/2022,407.380005,,
12/2/2022,406.910004,,
12/5/2022,399.589996,,
12/6/2022,393.829987,,
12/7/2022,393.160004,,
12/8/2022,396.23999,,
12/9/2022,393.279999,,
12/12/2022,398.950012,,
12/13/2022,401.970001,,
12/14/2022,399.399994,,
12/15/2022,389.630005,,
12/16/2022,383.269989,,
12/19/2022,380.019989,,
12/20/2022,380.540009,,
12/21/2022,386.230011,,
12/22/2022,380.720001,,
12/23/2022,382.910004,,
12/27/2022,381.399994,,
12/28/2022,376.660004,,
12/29/2022,383.440002,,
12/30/2022,382.429993,,
1/3/2023,380.820007,,
1/4/2023,383.76001,,
1/5/2023,379.380005,,
1/6/2023,388.079987,,
1/9/2023,387.859985,,
1/10/2023,390.579987,,
1/11/2023,395.519989,,
1/12/2023,396.959991,,
1/13/2023,398.5,,
1/17/2023,397.769989,,
1/18/2023,391.48999,,
1/19/2023,388.640015,,
1/20/2023,395.880005,,
1/23/2023,400.630005,,
1/24/2023,400.200012,,
1/25/2023,400.350006,,
1/26/2023,404.75,,
1/27/2023,405.679993,,
1/30/2023,400.589996,,
1/31/2023,406.480011,,
2/1/2023,410.799988,,
2/2/2023,416.779999,,
2/3/2023,412.350006,,
2/6/2023,409.829987,,
2/7/2023,415.190002,,
2/8/2023,410.649994,,
2/9/2023,407.089996,,
2/10/2023,408.040009,,
2/13/2023,412.829987,,
2/14/2023,412.640015,,
2/15/2023,413.980011,,
2/16/2023,408.279999,,
2/17/2023,407.26001,,
2/21/2023,399.089996,,
2/22/2023,398.540009,,
2/23/2023,400.660004,,
2/24/2023,396.380005,,
2/27/2023,397.730011,,
2/28/2023,396.26001,,
3/1/2023,394.73999,,
3/2/2023,397.809998,,
3/3/2023,404.190002,,
3/6/2023,404.470001,,
3/7/2023,398.269989,,
3/8/2023,398.920013,,
3/9/2023,391.559998,,
3/10/2023,385.910004,,
3/13/2023,385.359985,,
3/14/2023,391.730011,,
3/15/2023,389.279999,,
3/16/2023,396.109985,,
3/17/2023,389.98999,,
3/20/2023,393.73999,,
3/21/2023,398.910004,,
3/22/2023,392.109985,,
3/23/2023,393.170013,,
3/24/2023,395.75,,
3/27/2023,396.48999,,
3/28/2023,395.600006,,
3/29/2023,401.350006,,
3/30/2023,403.700012,,
3/31/2023,409.390015,,
4/3/2023,410.950012,,
4/4/2023,408.670013,,
4/5/2023,407.600006,,
4/6/2023,409.190002,,
4/10/2023,409.609985,,
4/11/2023,409.720001,,
4/12/2023,408.049988,,
4/13/2023,413.470001,,
4/14/2023,412.459991,,
4/17/2023,413.940002,,
4/18/2023,414.209991,,
4/19/2023,414.140015,,
4/20/2023,411.880005,,
4/21/2023,412.200012,,
4/24/2023,412.630005,,
4/25/2023,406.079987,,
4/26/2023,404.359985,,
4/27/2023,412.410004,,
4/28/2023,415.929993,,
5/1/2023,415.51001,,
5/2/2023,410.839996,,
5/3/2023,408.019989,,
5/4/2023,405.130005,,
5/5/2023,412.630005,,
5/8/2023,412.73999,,
5/9/2023,410.929993,,
5/10/2023,412.850006,,
5/11/2023,412.130005,,
5/12/2023,411.589996,,
5/15/2023,413.01001,,
5/16/2023,410.25,,
5/17/2023,415.230011,,
5/18/2023,419.230011,,
5/19/2023,418.619995,,
5/22/2023,418.790009,,
5/23/2023,414.089996,,
5/24/2023,411.089996,,
5/25/2023,414.649994,,
5/26/2023,420.019989,,
5/30/2023,420.179993,,
5/31/2023,417.850006,,
6/1/2023,421.820007,,
6/2/2023,427.920013,,
6/5/2023,427.100006,,
6/6/2023,428.029999,,
6/7/2023,426.549988,,
6/8/2023,429.130005,,
6/9/2023,429.899994,,
6/12/2023,433.799988,,
6/13/2023,436.660004,,
6/14/2023,437.179993,,
6/15/2023,442.600006,,
6/16/2023,439.459991,,
6/20/2023,437.179993,,
6/21/2023,434.940002,,
6/22/2023,436.51001,,
6/23/2023,433.209991,,
6/26/2023,431.440002,,
6/27/2023,436.170013,,
6/28/2023,436.390015,,
6/29/2023,438.109985,,
6/30/2023,443.279999,,
7/3/2023,443.790009,,
7/5/2023,443.130005,,
7/6/2023,439.660004,,
7/7/2023,438.549988,,
7/10/2023,439.660004,,
7/11/2023,442.459991,,
7/12/2023,446.019989,,
7/13/2023,449.559998,,
7/14/2023,449.279999,,
7/17/2023,450.839996,,
7/18/2023,454.190002,,
7/19/2023,455.200012,,
7/20/2023,452.179993,,
7/21/2023,452.179993,,
7/24/2023,454.200012,,
7/25/2023,455.440002,,
7/26/2023,455.51001,,
7/27/2023,452.48999,,
7/28/2023,456.920013,,
7/31/2023,457.790009,,457.790009
8/1/2023,456.480011,,
8/2/2023,450.130005,,
8/3/2023,448.839996,,
8/4/2023,446.809998,,
8/7/2023,450.709991,,
8/8/2023,448.75,,
8/9/2023,445.75,,
8/10/2023,445.910004,,
8/11/2023,445.649994,,
8/14/2023,448.109985,,
8/15/2023,442.890015,,
8/16/2023,439.640015,,
8/17/2023,436.290009,,
8/18/2023,436.5,,
8/21/2023,439.339996,,
8/22/2023,438.149994,,
8/23/2023,443.029999,,
